code,product_name,categories,packaging,ingredients_analysis_tags,ecoscore_score,ecoscore_grade,food_type,is_biodegradable,final_ecoscore,biodegradability_score,biodegradability_label,clean_category,product_name_lower,clean_category_fixed
8902901223286.0,GL jeerasar rice 1 kg,,,[],,unknown,other,no,,30.0,Non Biodegradable,grain,gl jeerasar rice 1 kg,grain
8902901034424.0,GLambemohar raw rice 1 kg,,,[],,unknown,other,no,,30.0,Non Biodegradable,grain,glambemohar raw rice 1 kg,grain
8902901231014.0,GL surti kolam rice 1 kg,,,[],,unknown,other,no,,30.0,Non Biodegradable,grain,gl surti kolam rice 1 kg,grain
8901023022951.0,Good night gold flash liquid 2 refills pack,"Non food products, Open Products Facts",,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,good night gold flash liquid 2 refills pack,non_food
8906032018605.0,Patanjali namkin biscuit 70g,,,[],,,snack,no,,30.0,Non Biodegradable,snack,patanjali namkin biscuit 70g,confectionery
8901499009661.0,Kellogg's corn flakes original,en:corn-flakes,,[],,,other,no,,30.0,Non Biodegradable,cereal,kellogg's corn flakes original,cereal
8906032018933.0,Patanjali dudh biscuits,,,[],,unknown,snack,no,,30.0,Non Biodegradable,snack,patanjali dudh biscuits,confectionery
8904422704770.0,Patanjali digestive biscuit,,,[],,unknown,snack,no,,30.0,Non Biodegradable,snack,patanjali digestive biscuit,confectionery
8906017670804.0,Shalimar coconut oil,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,shalimar coconut oil,non_food
8901781002622.0,Sunrise Sarsoo,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,sunrise sarsoo,non_food
8901781000109.0,Sunrise garam masala,en:spice-mix,,[],,,other,no,,30.0,Non Biodegradable,spices,sunrise garam masala,spices
8906125680023.0,Calcium lacted Chhana,,,['en:vegetarian'],,unknown,other,no,,35.0,Non Biodegradable,non_food,calcium lacted chhana,non_food
8908012768043.0,R M Maharaj Kaka Jeera,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,r m maharaj kaka jeera,non_food
8901781002257.0,Sunrise ajwain,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,sunrise ajwain,non_food
8901781001137.0,Sunrise haldi,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,sunrise haldi,non_food
8901781001021.0,Sunrise pure panch phoran,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,sunrise pure panch phoran,non_food
8901781000055.0,Sunrise chat masala,,,[],,unknown,other,no,,30.0,Non Biodegradable,spices,sunrise chat masala,spices
8901560273144.0,Nilon's ginger garlic paste,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,nilon's ginger garlic paste,non_food
8901781000376.0,Sunrise dhaniya powder,,,[],,unknown,other,no,,30.0,Non Biodegradable,spices,sunrise dhaniya powder,other
8904422700734.0,Patanjali kali mirch papad,Papadum,,['en:vegetarian'],,,other,no,,35.0,Non Biodegradable,non_food,patanjali kali mirch papad,non_food
8901781000369.0,Sunrise jeera powder,,,[],,unknown,other,no,,30.0,Non Biodegradable,spices,sunrise jeera powder,other
8901781000352.0,Sunrise Lal mirch powder,,,[],,unknown,other,no,,30.0,Non Biodegradable,spices,sunrise lal mirch powder,other
8901058904987.0,Maggi Pichku,"Condiments, Sauces, Tomato sauces, Ketchup, Tomato Ketchup",,[],74.0,b,other,no,74.0,37.4,Non Biodegradable,non_food,maggi pichku,non_food
8906099360150.0,Herald's Soybean sauce,,,[],,unknown,other,no,,30.0,Non Biodegradable,condiment,herald's soybean sauce,sauce_condiment
8901786140107.0,Everest Shahi biryani masala,,,[],,unknown,other,no,,30.0,Non Biodegradable,spices,everest shahi biryani masala,spices
8908017770010.0,Mala Chanachur,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps",,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,mala chanachur,non_food
8901117252608.0,Cipla kids Levosalbutamol Levolin cough Syrup,"Non food products, Open Products Facts",,[],,unknown,baby_care,no,,30.0,Non Biodegradable,beverage,cipla kids levosalbutamol levolin cough syrup,beverage_syrup
8906002006472.0,Sandwich Spread Veg. Cucumber & Carrot,"Emulsified dips, Sandwich spreads",,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,sandwich spread veg. cucumber & carrot,non_food
8904422701106.0,Patanjali black salt,,,['en:vegetarian'],,unknown,other,no,,35.0,Non Biodegradable,spices,patanjali black salt,other
8906007287012.0,Fortune Everyday rice full grain 1 kg,,,[],,unknown,other,no,,30.0,Non Biodegradable,grain,fortune everyday rice full grain 1 kg,grain
8908012731535.0,Rock Salt,Salt,,['en:vegetarian'],,,other,no,,35.0,Non Biodegradable,spices,rock salt,other
8906067025227.0,Nansj,,,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,nansj,non_food
8906143890145.0,date sweetened peanut butter,Peanut butters,,[],,,dairy,no,,30.0,Non Biodegradable,dairy,date sweetened peanut butter,dairy
8902979010559.0,Belgian Chocolate Milkshake,"Beverages, Dairies, Dairy drinks, Flavoured milks, en:bars",,"['en:may-contain-palm-oil', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,,dairy,no,,40.0,Moderately Biodegradable,beverage,belgian chocolate milkshake,dairy
